periode_data;bulan;tanggal;stasiun;pm_sepuluh;pm_duakomalima;sulfur_dioksida;karbon_monoksida;ozon;nitrogen_dioksida;max;parameter_pencemar_kritis;kategori
202401;1;1;DKI1 Bundaran Hotel Indonesia (HI);64;89;52;9;13;30;89;PM25;SEDANG
202401;1;2;DKI1 Bundaran Hotel Indonesia (HI);53;93;52;4;12;28;93;PM25;SEDANG
202401;1;3;DKI1 Bundaran Hotel Indonesia (HI);52;57;52;6;12;27;57;PM25;SEDANG
202401;1;4;DKI1 Bundaran Hotel Indonesia (HI);30;N/A;112;20;8;77;112;SO2;TIDAK SEHAT
202401;1;5;DKI1 Bundaran Hotel Indonesia (HI);22;54;46;15;24;44;54;PM25;SEDANG
202401;1;6;DKI1 Bundaran Hotel Indonesia (HI);49;68;46;12;38;36;68;PM25;SEDANG
202401;1;7;DKI1 Bundaran Hotel Indonesia (HI);52;77;45;14;34;44;77;PM25;SEDANG
202401;1;8;DKI1 Bundaran Hotel Indonesia (HI);49;52;46;10;27;32;52;PM25;SEDANG
202401;1;9;DKI1 Bundaran Hotel Indonesia (HI);50;62;48;13;25;31;62;PM25;SEDANG
202401;1;10;DKI1 Bundaran Hotel Indonesia (HI);49;66;49;10;34;41;66;PM25;SEDANG
202401;1;11;DKI1 Bundaran Hotel Indonesia (HI);51;58;47;10;24;36;58;PM25;SEDANG
202401;1;12;DKI1 Bundaran Hotel Indonesia (HI);30;26;45;8;18;21;45;SO2;BAIK
202401;1;13;DKI1 Bundaran Hotel Indonesia (HI);34;53;46;8;25;25;53;PM25;SEDANG
202401;1;14;DKI1 Bundaran Hotel Indonesia (HI);39;49;45;6;20;20;49;PM25;BAIK
202401;1;15;DKI1 Bundaran Hotel Indonesia (HI);55;72;47;10;21;30;72;PM25;SEDANG
202401;1;16;DKI1 Bundaran Hotel Indonesia (HI);41;47;48;10;25;24;48;SO2;BAIK
202401;1;17;DKI1 Bundaran Hotel Indonesia (HI);45;54;51;8;16;30;54;PM25;SEDANG
202401;1;18;DKI1 Bundaran Hotel Indonesia (HI);45;58;47;11;14;27;58;PM25;SEDANG
202401;1;19;DKI1 Bundaran Hotel Indonesia (HI);19;31;46;N/A;12;20;46;SO2;BAIK
202401;1;20;DKI1 Bundaran Hotel Indonesia (HI);26;28;44;N/A;17;17;44;SO2;BAIK
202401;1;21;DKI1 Bundaran Hotel Indonesia (HI);36;50;46;6;15;14;50;PM25;BAIK
